Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSGALG00000011847	TTC26	1	+	9363	54379	0.302706	4041.091064	11484.378906
ENSGALG00000011854	UBN2	1	+	67033	114680	4.617154	61638.484375	175170.453125
ENSGALG00000011856	C7ORF55	1	+	123889	125213	2.934272	39172.199219	111323.500000
ENSGALG00000011857	LUC7L2	1	+	128066	159323	18.503933	247025.437500	702021.625000
ENSGALG00000011859	GBE	1	-	163981	167913	0.0	0.0	0.0
